eid,pid,target_prefix,bin_start,bin_end,bin_size,step_size,bin_idx,time,n_trials,n_units,n_pos,n_neg,overlap_topk,cosine2_top1,expected_random_overlap,expected_random_cosine2,k_eff,n_eff,null_pval,status,error
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.08000000000000002,0.13,0.05,0.01,4.0,0.10500000000000001,688.0,57.0,186.0,128.0,0.660679810486095,0.588336702571189,0.05263157894736842,0.017543859649122806,3.0,57.0,0.0001999600079984003,,
e1931de1-cf7b-49af-af33-2ade15e8abe7,9150758e-1390-41d1-b426-96675e60dbea,VISp,0.09000000000000001,0.14,0.05,0.01,5.0,0.11500000000000002,688.0,57.0,186.0,128.0,0.7134192588922758,0.6173713034246978,0.05263157894736842,0.017543859649122806,3.0,57.0,0.0001999600079984003,,
07dc4b76-5b93-4a03-82a0-b3d9cc73f412,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,VISp,0.04,0.09,0.05,0.01,0.0,0.065,692.0,146.0,171.0,152.0,0.5310295226217822,0.504582638895068,0.02054794520547945,0.00684931506849315,3.0,146.0,0.0001999600079984003,,
07dc4b76-5b93-4a03-82a0-b3d9cc73f412,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,VISp,0.05,0.1,0.05,0.01,1.0,0.07500000000000001,692.0,146.0,171.0,152.0,0.49467701115012397,0.4924576723085341,0.02054794520547945,0.00684931506849315,3.0,146.0,0.0001999600079984003,,
07dc4b76-5b93-4a03-82a0-b3d9cc73f412,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,VISp,0.060000000000000005,0.11000000000000001,0.05,0.01,2.0,0.085,692.0,146.0,171.0,152.0,0.6410868680416636,0.5616899460222543,0.02054794520547945,0.00684931506849315,3.0,146.0,0.0001999600079984003,,
07dc4b76-5b93-4a03-82a0-b3d9cc73f412,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,VISp,0.07,0.12000000000000001,0.05,0.01,3.0,0.095,692.0,146.0,171.0,152.0,0.7416302378653505,0.5697021737368877,0.02054794520547945,0.00684931506849315,3.0,146.0,0.0001999600079984003,,
07dc4b76-5b93-4a03-82a0-b3d9cc73f412,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,VISp,0.08000000000000002,0.13,0.05,0.01,4.0,0.10500000000000001,692.0,146.0,171.0,152.0,0.5588751555925215,0.4161514296339746,0.02054794520547945,0.00684931506849315,3.0,146.0,0.0001999600079984003,,
07dc4b76-5b93-4a03-82a0-b3d9cc73f412,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,VISp,0.09000000000000001,0.14,0.05,0.01,5.0,0.11500000000000002,692.0,146.0,171.0,152.0,0.46247385169113475,0.22608848195640815,0.02054794520547945,0.00684931506849315,3.0,146.0,0.00599880023995201,,
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,cc9d666c-6fe5-418d-9b37-114428d25454,VISp,0.04,0.09,0.05,0.01,0.0,0.065,655.0,115.0,176.0,124.0,0.18103580766442243,0.13546349274188346,0.02608695652173913,0.008695652173913044,3.0,115.0,0.00599880023995201,,
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,cc9d666c-6fe5-418d-9b37-114428d25454,VISp,0.05,0.1,0.05,0.01,1.0,0.07500000000000001,655.0,115.0,176.0,124.0,0.23966746809867467,0.07563069264375236,0.02608695652173913,0.008695652173913044,3.0,115.0,0.015796840631873626,,
